nace_r2_code,year,LAB_QI_final,source
A,1995,126.78705523389212,Imputed (ensemble)
A,1996,125.32687044671096,Imputed (ensemble)
A,1997,123.91918950689066,Imputed (ensemble)
A,1998,122.56285796267944,Imputed (ensemble)
A,1999,121.25675157419255,Imputed (ensemble)
A,2000,119.99977557474065,Imputed (ensemble)
A,2001,118.79086395068852,Imputed (ensemble)
A,2002,117.62897873938371,Imputed (ensemble)
A,2003,116.5131093447066,Imputed (ensemble)
A,2004,115.44227186980382,Imputed (ensemble)
A,2005,114.4155084665787,Imputed (ensemble)
A,2006,113.4318867015224,Imputed (ensemble)
A,2007,112.49049893748015,Imputed (ensemble)
A,2008,111.590461730957,Observed
A,2009,103.956298828125,Observed
A,2010,104.542610168457,Observed
A,2011,104.430206298828,Observed
A,2012,108.61336517334,Observed
A,2013,104.459411621094,Observed
A,2014,104.130004882812,Observed
A,2015,100,Observed
A,2016,104.190132141113,Observed
A,2017,101.20011138916,Observed
A,2018,96.7077560424805,Observed
A,2019,89.3283386230469,Observed
A,2020,85.7378158569336,Observed
A,2021,80.3933486938477,Observed
B,1995,99.74782546535403,Imputed (ensemble)
B,1996,99.4485804659097,Imputed (ensemble)
B,1997,99.16195670045043,Imputed (ensemble)
B,1998,98.88788233025312,Imputed (ensemble)
B,1999,98.62628721203677,Imputed (ensemble)
B,2000,98.37710288458382,Imputed (ensemble)
B,2001,98.14026255559997,Imputed (ensemble)
B,2002,97.91570108881041,Imputed (ensemble)
B,2003,97.70335499128993,Imputed (ensemble)
B,2004,97.50316240102502,Imputed (ensemble)
B,2005,97.31506307470573,Imputed (ensemble)
B,2006,97.13899837574482,Imputed (ensemble)
B,2007,96.9749112625227,Imputed (ensemble)
B,2008,96.8227462768555,Observed
B,2009,97.3142318725586,Observed
B,2010,126.212677001953,Observed
B,2011,122.699066162109,Observed
B,2012,118.930770874023,Observed
B,2013,81.1780014038086,Observed
B,2014,115.694297790527,Observed
B,2015,100,Observed
B,2016,94.3301315307617,Observed
B,2017,104.657981872559,Observed
B,2018,109.351432800293,Observed
B,2019,114.303421020508,Observed
B,2020,84.0744171142578,Observed
