year,nace_r2_code,nace_r2_name.x,valI_CT,valI_Cult,valI_GFCF,valI_IT,valI_OCon,valI_OIPP,valI_OMach,valI_RD,valI_Rstruc,valI_Soft_DB,valI_TraEq,valIp_CT,valIp_Cult,valIp_GFCF,valIp_IT,valIp_OCon,valIp_OIPP,valIp_OMach,valIp_RD,valIp_Rstruc,valIp_Soft_DB,valIp_TraEq,valIpyp_CT,valIpyp_Cult,valIpyp_GFCF,valIpyp_IT,valIpyp_OCon,valIpyp_OIPP,valIpyp_OMach,valIpyp_RD,valIpyp_Rstruc,valIpyp_Soft_DB,valIpyp_TraEq,valIq_CT,valIq_Cult,valIq_GFCF,valIq_IT,valIq_OCon,valIq_OIPP,valIq_OMach,valIq_RD,valIq_Rstruc,valIq_Soft_DB,valIq_TraEq,valK_CT,valK_Cult,valK_GFCF,valK_IT,valK_OCon,valK_OIPP,valK_OMach,valK_RD,valK_Rstruc,valK_Soft_DB,valK_TraEq,valKpyp_CT,valKpyp_Cult,valKpyp_GFCF,valKpyp_IT,valKpyp_OCon,valKpyp_OIPP,valKpyp_OMach,valKpyp_RD,valKpyp_Rstruc,valKpyp_Soft_DB,valKpyp_TraEq,valKq_CT,valKq_Cult,valKq_GFCF,valKq_IT,valKq_OCon,valKq_OIPP,valKq_OMach,valKq_RD,valKq_Rstruc,valKq_Soft_DB,valKq_TraEq,valShare_E111,valShare_E112,valShare_E121,valShare_E122,valShare_E131,valShare_E132,valShare_E211,valShare_E212,valShare_E221,valShare_E222,valShare_E231,valShare_E232,valShare_E311,valShare_E312,valShare_E321,valShare_E322,valShare_E331,valShare_E332,valShare_W111,valShare_W112,valShare_W121,valShare_W122,valShare_W131,valShare_W132,valShare_W211,valShare_W212,valShare_W221,valShare_W222,valShare_W231,valShare_W232,valShare_W311,valShare_W312,valShare_W321,valShare_W322,valShare_W331,valShare_W332,nace_r2_name.y,valCOMP,valEMP,valEMPE,valGO_CP,valGO_PI,valGO_PYP,valGO_Q,valH_EMP,valH_EMPE,valII_CP,valII_PI,valII_PYP,valII_Q,valVA_CP,valVA_PI,valVA_PYP,valVA_Q,nace_r2_name,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1995,A,"Agriculture, forestry and fishing",,26369,69801,,24931,0,16028,267,0,123,2083,,25.5985216835434,26.6184777758645,,17.7016171807071,0,,12.4654634430203,0,38.1364211841309,37.6431176067781,,0,0,,0,0,0,,0,0,0,,103009.854732947,262227.617175352,,140840.239315378,0,,2141.91795772744,0,322.52633094786,5533.54804923206,,143000,1874000,,1223000,0,,1000,0,0,78000,,,,,,0,,,0,,,,506989.106556489,9572333.57118622,,7467756.98160964,0,,3048.76216604612,0,,239988.31058484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",122144,330.94,236.67,1018910,29.0240606527249,,3510570.11694999,1175428,488801,592613,23.8434524355783,,2485432.85248291,426297,32.0247472272588,,1331148.68003438,"Agriculture, forestry and fishing",134472.97,96.684265,9.8687744,42.010128,49.072338,112.49585,112.76865,112.18815,293721.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,B,Mining and quarrying,,0,3933,,674,0,2861,0,0,11,387,,0,32.790367999057,,15.7321495584274,0,,0,0,41.0918001774508,48.2393777655755,,0,0,,0,0,0,0,0,0,0,,0,11994.3759097584,,4284.22064954849,0,,0,0,26.7693309918222,802.249153960211,,0,162000,,104000,0,,0,0,0,5000,,0,,,,0,,,0,,,,0,654792.471372226,,639147.989860896,0,,,0,,8710.22231291592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining and quarrying,16570,33.32,33.32,51417,36.7748820158562,,139815.540340362,58896,58896,29231,32.5291031318658,,89861.0695828409,22186,43.4203238802903,,51095.8878638647,Mining and quarrying,7789.3496,233.21458,4.2110515,172.35081,176.45657,118.12932,118.12932,121.60523,16570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C,Manufacturing,,0,252033,,67002,0,149708,14262,0,4972,16068,,0,28.8680533410242,,15.6306780039749,0,,12.5172750535249,0,42.9016251869719,47.8908096758813,,0,0,,0,0,0,,0,0,0,,0,873051.594517589,,428657.029355741,0,,113938.536454736,0,11589.304550425,33551.3224953726,,0,2681000,,1247000,0,,34000,0,6000,77000,,0,,,,0,,,0,,,,0,10738887.4647881,,7737794.58759084,0,,260044.221822062,0,16948.6360345857,286219.91430534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,604432,906.76,857.19,3718144,40.1420872010037,0,9262458.08141993,1504537,1389078,2656745,45.073112414593,0,5894301.18684203,1061399,27.6673148016276,,3836292.05656618,Manufacturing,492467.06,45.109505,14.743943,49.157509,44.590801,39.779778,81.664047,32.862751,654671.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C10-C12,Manufacture of food products; beverages and tobacco products,,0,51014,,13189,0,32316,321,0,523,4642,,0,30.9609896815348,,16.0045398763295,0,,12.5674483037436,0,37.3040546292216,46.0987605360782,,0,0,,0,0,0,,0,0,0,,0,164768.63473917,,82407.8674045878,0,,2554.21778742769,0,1401.99237106605,10069.6850544757,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacture of food products; beverages and tobacco products,123158,170.46,165.67,977549,26.8628972797239,,3639030.40621703,,,784295,30.9603670193722,,2533222.55356101,193254,13.4660183634043,,1435123.54420363,Manufacture of food products; beverages and tobacco products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",,0,8570,,2060,0,5633,42,0,96,739,,0,32.3369269997533,,16.2128386094156,0,,,0,37.55183961849,56.5205066294579,,0,0,,0,0,0,,0,0,0,,0,26502.2090691097,,12705.9798079014,0,,,0,255.646596745506,1307.49004931042,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manufacture of textiles, wearing apparel, leather and related products",66203,168.12,152.76,211438,38.0728417964824,,555351.242574004,,,112058,43.4056810515664,,258164.363017076,99380,30.7228025469659,,323473.094123096,"Manufacture of textiles, wearing apparel, leather and related products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C16-C18,"Manufacture of wood, paper, printing and reproduction",,0,10674,,1889,0,7344,59,0,303,1079,,0,33.1100301762443,,15.9943281848299,0,,12.6969817626577,0,37.4262982346789,43.8230746065222,,0,0,,0,0,0,,0,0,0,,0,32237.9651820987,,11810.4366633646,0,,464.677362721912,0,809.591154594186,2462.17320370171,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manufacture of wood, paper, printing and reproduction",44252,69.25,63.69,253340,41.1477596327942,,615683.58097944,,,179125,44.0386009277735,,406745.437471499,74215,34.3686971276521,,215937.775366785,"Manufacture of wood, paper, printing and reproduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C19,Manufacture of coke and refined petroleum products,,0,40648,,18120,0,21948,536,0,44,0,,0,19.7095076438498,,15.737388203711,0,,12.4840699539991,0,36.8063954494405,0,,0,0,,0,0,0,,0,0,0,,0,206235.491695217,,115139.817137682,0,,4293.47161602774,0,119.544441836042,0,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacture of coke and refined petroleum products,28900,7.66,7.66,239956,13.1594177261721,,1823454.54026255,,,139543,15.9364071213322,,875623.965537441,100413,4.92315321332659,,2039607.45581084,Manufacture of coke and refined petroleum products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C20,Manufacture of chemicals and chemical products,,0,16500,,3468,0,10960,423,0,88,1566,,0,35.11294574724,,15.74825634602,0,,12.5273752002224,0,37.3761473491808,46.0619096462139,,0,0,,0,0,0,,0,0,0,,0,46991.2154872308,,22021.4855778395,0,,3376.6051805688,0,235.44427727629,3399.77220229886,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacture of chemicals and chemical products,29504,29.19,29.19,244582,17.7986224260331,,1374162.52868123,,,172286,27.843815699494,,618758.584884366,72296,2.50678414087248,,2884013.77770156,Manufacture of chemicals and chemical products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C20-C21,Chemicals; basic pharmaceutical products,,0,36141,,6897,0,18507,8453,0,464,1827,,0,26.6932987656052,,15.7817536533897,0,,12.5151674895022,0,37.1197466964393,47.8727263334078,,0,0,,0,0,0,,0,0,0,,0,135393.531977278,,43702.3676295861,0,,67542.0445398786,0,1250.00852994643,3816.36923553492,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemicals; basic pharmaceutical products,53896,66.2,66.2,367257,19.3284715888711,0,1900082.98541028,,,238224,28.168212591373,0,845719.263255491,129033,8.23860824547328,,1566199.00055203,Chemicals; basic pharmaceutical products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0,19641,,3429,0,7547,8030,0,376,261,,0,21.4841743785605,,15.8049015198522,0,,12.5146721914001,0,37.0332134414604,84.2996650404241,,0,0,,0,0,0,,0,0,0,,0,91420.780961451,,21695.8011139323,0,,64164.6850767542,0,1015.30481710521,309.609771135915,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacture of basic pharmaceutical products and pharmaceutical preparations,24392,37.01,37.01,122675,21.4600215978449,,571644.34546664,,,65938,28.9835478797885,,227501.478678466,56737,15.2683262531916,,371599.342712106,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
