year,nace_r2_name,nace_r2_code,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
1995,Accommodation and food service activities,I,50231.316,34.714706,4.7067504,48.011494,32.452641,63.920197,63.920197,61.281158,66095.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Activities of extraterritorial organisations and bodies,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,0,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Administrative and support service activities,N,63635.527,21.209032,5.3945823,43.073429,21.216362,52.152721,51.913418,45.069954,53243.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Agriculture, forestry and fishing",A,134472.97,96.684265,9.8687744,42.010128,49.072338,112.49585,112.76865,112.18815,293721.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Air transport,H51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Arts, entertainment and recreation",R,28911.537,58.324982,8.4782429,57.15876,48.228645,64.104691,64.104691,62.851772,57848.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Arts, entertainment, recreation; other services and service activities, etc.",R-S,89049.625,59.45557,6.7820358,86.301834,56.816574,128.21396,128.28236,123.53916,123602.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Chemicals; basic pharmaceutical products,C20-C21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Computer programming, consultancy, and information service activities",J62-J63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Computer, electronic, optical products; electrical equipment",C26-C27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Construction,F,100292.59,63.72541,9.7721491,63.273384,60.567863,70.465363,70.465363,68.709038,163436.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Education,P,79035.352,57.342506,7.9938297,74.791092,52.812347,96.932083,97.022659,93.86618,210371.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Electricity, gas, steam and air conditioning supply",D,62361.098,153.33546,18.542484,122.7125,116.6851,55.160206,55.159271,59.387569,83786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Electricity, gas, steam; water supply, sewerage, waste management",D-E,72970.133,127.63244,18.108372,29858.602,9593.3721,454.86295,81.457298,444.41901,125890.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Financial and insurance activities,K,168901.66,43.383938,5.8657832,59.481552,51.026844,100.25362,100.25362,68.505951,108656.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Human health activities,Q86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Human health and social work activities,Q,56738.199,57.751934,6.4631815,52.452904,47.908638,117.59104,117.65491,56.962986,173671.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Imputed rents of owner-occupied dwellings,L68A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Information and communication,J,103814.02,33.384445,17.715313,14.822772,20.012962,56.608803,223.09277,34.814301,81126.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
