year,nace_r2_code,valShare_E111,valShare_E112,valShare_E121,valShare_E122,valShare_E131,valShare_E132,valShare_E211,valShare_E212,valShare_E221,valShare_E222,valShare_E231,valShare_E232,valShare_E311,valShare_E312,valShare_E321,valShare_E322,valShare_E331,valShare_E332,valShare_W111,valShare_W112,valShare_W121,valShare_W122,valShare_W131,valShare_W132,valShare_W211,valShare_W212,valShare_W221,valShare_W222,valShare_W231,valShare_W232,valShare_W311,valShare_W312,valShare_W321,valShare_W322,valShare_W331,valShare_W332
1995,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,TOT_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,M-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NMARKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
