year,nace_r2_code,nace_r2_name,valCOMP,valEMP,valEMPE,valGO_CP,valGO_PI,valGO_PYP,valGO_Q,valH_EMP,valH_EMPE,valII_CP,valII_PI,valII_PYP,valII_Q,valVA_CP,valVA_PI,valVA_PYP,valVA_Q
1995,A,"Agriculture, forestry and fishing",122144,330.94,236.67,1018910,29.0240606527249,,3510570.11694999,1175428,488801,592613,23.8434524355783,,2485432.85248291,426297,32.0247472272588,,1331148.68003438
1995,B,Mining and quarrying,16570,33.32,33.32,51417,36.7748820158562,,139815.540340362,58896,58896,29231,32.5291031318658,,89861.06958284089,22186,43.4203238802903,,51095.8878638647
1995,C,Manufacturing,604432,906.76,857.1900000000001,3718144,40.1420872010037,0,9262458.08141993,1504537,1389078,2656745,45.073112414593,0,5894301.18684203,1061399,27.6673148016276,,3836292.05656618
1995,C10-C12,Manufacture of food products; beverages and tobacco products,123158,170.46,165.67,977549,26.8628972797239,,3639030.40621703,,,784295,30.9603670193722,,2533222.55356101,193254,13.4660183634043,,1435123.54420363
1995,C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",66203,168.12,152.76,211438,38.0728417964824,,555351.242574004,,,112058,43.4056810515664,,258164.363017076,99380,30.7228025469659,,323473.094123096
1995,C16-C18,"Manufacture of wood, paper, printing and reproduction",44252,69.25,63.69,253340,41.1477596327942,,615683.58097944,,,179125,44.0386009277735,,406745.437471499,74215,34.3686971276521,,215937.775366785
1995,C19,Manufacture of coke and refined petroleum products,28900,7.66,7.66,239956,13.1594177261721,,1823454.54026255,,,139543,15.9364071213322,,875623.965537441,100413,4.92315321332659,,2039607.45581084
1995,C20,Manufacture of chemicals and chemical products,29504,29.19,29.19,244582,17.7986224260331,,1374162.52868123,,,172286,27.843815699494,,618758.584884366,72296,2.50678414087248,,2884013.77770156
1995,C20-C21,Chemicals; basic pharmaceutical products,53896,66.2,66.2,367257,19.3284715888711,0,1900082.98541028,,,238224,28.168212591373,0,845719.263255491,129033,8.23860824547328,,1566199.00055203
1995,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,24392,37.01,37.01,122675,21.4600215978449,,571644.34546664,,,65938,28.9835478797885,,227501.478678466,56737,15.2683262531916,,371599.342712106
1995,C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,52346,66.28,62.98,281941,35.078087435454,,803752.486559566,,,187355,37.5078790569402,,499508.38253365,94586,29.4470672345892,,321206.859910644
1995,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",77677,97.97,92.48999999999999,440103,31.7163563116196,,1387621.5655919,,,321680,35.9480960376366,,894845.72329842,118423,22.2928304868937,,531215.6303777701
1995,C26,"Manufacture of computer, electronic and optical products",20297,40.32,39.1,132693,130.796061721486,,101450.302290105,,,92033,119.361291174616,,77104.56136517751,40660,181.772710927055,,22368.5941595033
1995,C26-C27,"Computer, electronic, optical products; electrical equipment",54734,92.06,89.81,305591,96.8020464295805,0,315686.507952396,,,219280,96.0073644018981,0,228399.145592695,86311,91.12657455305479,,94715.51018276111
1995,C27,Manufacture of electrical equipment,34437,51.74,50.71,172898,42.4911634808736,,406903.42611547,,,127247,48.3553097471869,,263150.004963835,45651,28.9320776116078,,157786.801946378
1995,C28,Manufacture of machinery and equipment n.e.c.,43076,60.08,57.04,158516,38.2548038287115,,414368.874324298,,,101649,39.985587058398,,254214.099324199,56867,36.6041096616463,,155356.87256337
1995,C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",29895,39.96,39.96,366334,48.9984730412423,,747643.70655317,,,304095,49.3186870749655,,616591.83979851,62239,46.9120804668786,,132671.583482516
1995,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",30295,68.72,58.93,116119,31.3122258905184,,370842.368108879,,,69441,33.0032295659455,,210406.681143875,46678,29.6870415332261,,157233.586067367
1995,D,"Electricity, gas, steam and air conditioning supply",83786,62.76,62.76,379339,16.7792402561089,,2260763.86183154,98836,98836,252212,20.6623535214302,,1220635.39247073,127127,12.4388154855696,,1022018.53663222
1995,D-E,"Electricity, gas, steam; water supply, sewerage, waste management",124302,122.69,121.59,478773,17.7013409128157,0,2704727.29923737,204134,201558,302854,21.431471903513,0,1413127.3921058,175919,13.5910496476858,,1294373.90459356
