nace_r2_code,year,nace_r2_name.x,valI_CT,valI_Cult,valI_GFCF,valI_IT,valI_OCon,valI_OIPP,valI_OMach,valI_RD,valI_Rstruc,valI_Soft_DB,valI_TraEq,valIp_CT,valIp_Cult,valIp_GFCF,valIp_IT,valIp_OCon,valIp_OIPP,valIp_OMach,valIp_RD,valIp_Rstruc,valIp_Soft_DB,valIp_TraEq,valIpyp_CT,valIpyp_Cult,valIpyp_GFCF,valIpyp_IT,valIpyp_OCon,valIpyp_OIPP,valIpyp_OMach,valIpyp_RD,valIpyp_Rstruc,valIpyp_Soft_DB,valIpyp_TraEq,valIq_CT,valIq_Cult,valIq_GFCF,valIq_IT,valIq_OCon,valIq_OIPP,valIq_OMach,valIq_RD,valIq_Rstruc,valIq_Soft_DB,valIq_TraEq,valK_CT,valK_Cult,valK_GFCF,valK_IT,valK_OCon,valK_OIPP,valK_OMach,valK_RD,valK_Rstruc,valK_Soft_DB,valK_TraEq,valKpyp_CT,valKpyp_Cult,valKpyp_GFCF,valKpyp_IT,valKpyp_OCon,valKpyp_OIPP,valKpyp_OMach,valKpyp_RD,valKpyp_Rstruc,valKpyp_Soft_DB,valKpyp_TraEq,valKq_CT,valKq_Cult,valKq_GFCF,valKq_IT,valKq_OCon,valKq_OIPP,valKq_OMach,valKq_RD,valKq_Rstruc,valKq_Soft_DB,valKq_TraEq,valShare_E111,valShare_E112,valShare_E121,valShare_E122,valShare_E131,valShare_E132,valShare_E211,valShare_E212,valShare_E221,valShare_E222,valShare_E231,valShare_E232,valShare_E311,valShare_E312,valShare_E321,valShare_E322,valShare_E331,valShare_E332,valShare_W111,valShare_W112,valShare_W121,valShare_W122,valShare_W131,valShare_W132,valShare_W211,valShare_W212,valShare_W221,valShare_W222,valShare_W231,valShare_W232,valShare_W311,valShare_W312,valShare_W321,valShare_W322,valShare_W331,valShare_W332,nace_r2_name.y,valCOMP,valEMP,valEMPE,valGO_CP,valGO_PI,valGO_PYP,valGO_Q,valH_EMP,valH_EMPE,valII_CP,valII_PI,valII_PYP,valII_Q,valVA_CP,valVA_PI,valVA_PYP,valVA_Q,nace_r2_name,valueCAP,valueCAPEconComp_QI,valueCAPICT_QI,valueCAPInnovprop_QI,valueCAPIntang_QI,valueCAPNICT_QI,valueCAPTang_QI,valueCAP_QI,valueLAB,valueLAB_QI,valueLP1ConEconComp,valueLP1ConInnovprop,valueLP1ConIntang,valueLP1ConIntangNA,valueLP1ConIntangnonNA,valueLP1ConLC,valueLP1ConTFP,valueLP1ConTangICT,valueLP1ConTangNICT,valueLP1Con_Soft_DB,valueLP1TFP_I,valueLP1_G,valueLP2ConEconComp,valueLP2ConIntang,valueLP2ConIntangNA,valueLP2ConIntangnonNA,valueLP2ConLC,valueLP2ConTFP,valueLP2ConTangICT,valueLP2ConTangNICT,valueLP2Con_Soft_DB,valueLP2TFP_I,valueLP2_G,valueVAConEconComp,valueVAConH,valueVAConInnovprop,valueVAConIntang,valueVAConIntangNA,valueVAConIntangnonNA,valueVAConLC,valueVAConTFP,valueVAConTangICT,valueVAConTangNICT,valueVACon_Soft_DB,valueVATFP_I,valueVAadj_G
A,1995,"Agriculture, forestry and fishing",,26369,69801,,24931,0,16028,267,0,123,2083,,25.5985216835434,26.6184777758645,,17.7016171807071,0,,12.4654634430203,0,38.1364211841309,37.6431176067781,,0,0,,0,0,0,,0,0,0,,103009.854732947,262227.617175352,,140840.239315378,0,,2141.91795772744,0,322.52633094786,5533.54804923206,,143000,1874000,,1223000,0,,1000,0,0,78000,,,,,,0,,,0,,,,506989.106556489,9572333.57118622,,7467756.98160964,0,,3048.76216604612,0,,239988.31058484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",122144,330.94,236.67,1018910,29.0240606527249,,3510570.11694999,1175428,488801,592613,23.8434524355783,,2485432.85248291,426297,32.0247472272588,,1331148.68003438,"Agriculture, forestry and fishing",134472.97,96.684265,9.8687744,42.010128,49.072338,112.49585,112.76865,112.18815,293721.75,108.214767456055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1996,"Agriculture, forestry and fishing",,33047,81877,,22626,0,22074,256,0,144,3730,,30.3983019898688,32.1878763085875,,22.2028266716935,0,,15.0526351010056,0,44.6475174838606,46.1112737843291,,27829,67710,,18039,0,18462,212,0,123,3045,,108713.309088823,254372.171730248,,101905.943484421,0,,1700.69890276486,0,322.52633094786,8089.12808925186,,159000,2340000,,1568000,0,,1000,0,0,99000,,133000,1875000,,1229000,0,,1000,0,0,83000,,471535.32288121,9577441.54000756,,7504393.56532972,0,,3048.76216604612,0,,255372.176647971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",140489,341.38,240.27,1312690,35.681027117144,1067783,3678957.99549245,1237525,500911,784223,30.1184918986179,620834,2603792.38987058,528467,37.8656672079986,446949,1395636.30847199,"Agriculture, forestry and fishing",183966.28,100.5872,10.454609,46.82233,52.925179,110.00529,110.2587,109.7383,347084.91,109.198486328125,-0.00079748622,0.0044118841,0.003660473,0.0033603269,0.00030014478,,,,-2.5519195,,,-0.38048661,0.00057033275,0.006761957,0.0037512197,0.0030107358,,,,-1.8475655,,,1.6617076,0.0026506088,3.448034,0.008398802,0.011478914,0.0043457169,0.0071331947,,,,-0.77633464,,,4.7676215
A,1997,"Agriculture, forestry and fishing",,33548,93893,,28206,0,27638,341,0,192,3968,,33.5053466227329,36.5567092878145,,26.1877113448937,0,,18.1376274538619,0,52.5909408398849,54.9623113175783,,30437,82672,,23914,0,24546,283,0,163,3329,,100127.303196554,256842.045767225,,107707.006651041,0,,1880.06949016584,0,365.08188850348,7219.49260298109,,170000,2816000,,1930000,0,,1000,0,0,121000,,151000,2358000,,1578000,0,,1000,0,0,107000,,447810.275189074,9651114.16723839,,7552253.21816984,0,,3048.76216604612,0,,276008.312134676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",167720,328.18,224.38,1378239,40.3567028675742,1218558,3415142.71996533,1193525,463817,802951,34.1557043063648,708042,2350854.75854285,575288,42.6698946884232,510516,1348229.24734352,"Agriculture, forestry and fishing",146554.33,100.06459,11.530654,50.159744,54.996639,107.90417,108.14129,107.6591,431588.34,104.010185241699,0.0018117927,0.0073640207,0.010086698,0.0041835364,0.0058683492,,,,0.50199777,0.00089415396,,0.14848672,0.00200071,0.010523683,0.00424247,0.0062464015,,,,0.59849691,0.00091569126,,0.47165528,-0.00030451524,-2.5343227,0.0048263515,0.0051914528,0.0035233442,0.0016332975,,,,-0.57901454,0.00065288687,,-3.4717436
A,1998,"Agriculture, forestry and fishing",,44303,117106,,37145,0,28112,434,0,309,6747,,38.4865402636038,41.0235254454392,,28.9377521316697,0,,22.0496647478321,0,62.2628380058408,47.4754467366151,,38569,104355,,33615,0,23695,357,0,261,7811,,115112.971175268,285460.595422862,,128361.732559552,0,,1968.28389439649,0,496.283192184419,14211.5566335396,,198000,3217000,,2173000,0,,2000,0,0,148000,,174000,2837000,,1942000,0,,2000,0,0,126000,,458346.987546464,9723086.25442305,,7599210.23299783,0,,6097.52433209223,0,,287413.614289001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",182021,311.76,215.81,1514662,42.8661641474635,1425991,3533467.54981254,1135800,452261,868926,35.8679785606443,827445,2422567.52365024,645736,46.0340343374171,598546,1402736.0610346,"Agriculture, forestry and fishing",191682.58,98.327682,14.507629,52.693958,56.763374,107.10435,107.32888,106.87061,457124.22,103.419357299805,0.0017399802,0.0070917537,0.010811152,0.0054055606,0.005453065,,,,1.1480627,0.0019974452,,8.8832054,0.0018352022,0.011044797,0.0054438394,0.0056484323,,,,1.1959898,0.0020099971,,9.0586767,-0.00095022004,-3.5967569,0.0035356239,0.0042102118,0.0043241079,-6.6422639e-05,,,,-0.205966,0.0016428353,,3.9258187
A,1999,"Agriculture, forestry and fishing",,45396,151127,,66015,0,27743,614,0,378,10863,,38.7356993128449,43.3516465865765,,31.764116110011,0,,25.3055965517176,0,71.5360266450085,51.4696385129591,,45104,143011,,60141,0,26780,535,0,329,10020,,117194.218267144,348607.289225308,,207828.858739105,0,,2426.3407453966,0,528.405081646193,21105.6465789339,,205000,3674000,,2568000,0,,2000,0,0,166000,,199000,3234000,,2185000,0,,2000,0,0,156000,,460661.871321951,9774467.18893508,,7641175.49889566,0,,6097.52433209223,0,0,302949.48533165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",179290,308.3,202.02,1560679,43.8867623307099,1524385,3556149.77527725,1117013,416740,925822,38.5615142105675,861153,2400896.38322939,634857,44.0645640399583,663232,1440742.72339176,"Agriculture, forestry and fishing",157761.03,98.090103,17.684845,55.913677,59.297306,107.45481,107.66615,107.22884,480561.66,102.595558166504,0.00077163539,0.0058352728,0.0084019369,0.0056065307,0.0027720302,,,,0.53485072,0.0017845943,,4.3381672,0.00047300369,0.0076336344,0.0054589845,0.0021512741,,,,0.38589829,0.0017387249,,3.7862909,-0.00013090477,-1.2154152,0.0045544407,0.0060799341,0.0051606097,0.00089594885,,,,0.084679015,0.0016459652,,2.6702583
A,2000,"Agriculture, forestry and fishing",,49902,157671,,66555,0,29944,657,0,508,9884,,40.9167449961811,47.0352075648872,,35.452377919233,0,,29.0153175121788,0,83.5409230704927,55.0569163487108,,47242,145323,,59631,0,28014,573,0,435,9240,,121959.847990493,335219.101100991,,187730.707800826,0,,2264.32124936849,0,608.08521300554,17952.3312518963,,214000,4003000,,2843000,0,,3000,0,1000,189000,,201000,3632000,,2546000,0,,3000,0,1000,179000,,451673.347003474,9662728.58742847,,7575713.71502662,0,,9146.28649813835,0,2250,326674.445026297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",196851,287.26,182.57,1679344,51.0152178393808,1444686,3291849.12095709,1040491,371353,1003558,44.3097988338564,873367,2264866.9739236,675786,52.121871448888,571319,1296549.76157695,"Agriculture, forestry and fishing",128136.73,98.78756,21.687674,58.83033,62.020161,107.28441,107.48465,107.07494,551555.25,102.643562316895,0.0034168775,0.0079586823,0.013553162,0.0055516278,0.0079762749,,,,1.501024,0.002162962,,-3.3691778,0.0034046264,0.013520427,0.0055444138,0.0079507548,,,,1.4949609,0.002160761,,-3.3971615,0.00031017256,-5.5506644,0.0033221752,0.0052517876,0.0037223154,0.0015042134,,,,-0.036554337,0.0016047992,,-10.465722
A,2001,"Agriculture, forestry and fishing",,51974,207767,,96225,0,47045,650,0,661,10991,,48.0198461010594,52.6338227586696,,39.7581122707356,0,,33.799204987305,0,89.2092894177636,58.8305043348902,,44286,185667,,85804,0,43906,558,0,619,10286,,108234.416017534,394740.471260521,,242026.078463558,0,,1923.12215699789,0,740.954226083522,18682.4847487864,,249000,4319000,,3052000,0,,3000,0,1000,216000,,218000,4002000,,2819000,0,,3000,0,1000,210000,,460115.839470829,9660314.71568542,,7511761.15464651,0,,9146.28649813835,0,2250,362971.605584775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",223664,272.85,178.61,1986085,54.16754686976,1870503,3666558.88031135,951328,353869,1210893,48.314816647854,1110517,2506256.01836737,775192,53.1647395770533,759986,1458094.22968487,"Agriculture, forestry and fishing",179121.81,109.42554,26.446688,62.526527,67.632652,108.18305,108.38033,108.01502,601289.81,102.860885620117,0.0083602127,0.0099034607,0.020875916,0.0054240772,0.015452638,,,,2.0344727,0.0026196274,,20.753197,0.0066990107,0.016359616,0.004331165,0.012029253,,,,1.2421227,0.0022728292,,16.940842,0.0044564442,-7.0863008,0.0040090438,0.010262766,0.0028557705,0.0074077952,,,,0.1724766,0.0018046632,,11.794287
A,2002,"Agriculture, forestry and fishing",,58494,212610,,76154,0,54748,1206,0,769,20990,,48.8584602163049,54.7356126151686,,42.6923192592442,0,,38.4183234822713,0,82.9527733521889,60.0200391751407,,57490,204446,,70920,0,53306,1061,0,827,20574,,119721.333298342,388430.840255327,,178378.690409307,0,,3139.12709011502,0,927.033502225526,34971.6532819154,,257000,4484000,,3164000,0,,4000,0,1000,236000,,249000,4320000,,3028000,0,,4000,0,1000,237000,,460115.839470829,9662551.41740241,,7452690.94897432,0,,12195.0486641845,0,2250,398260.511683295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",234451,264.03,169.45,1981114,57.7249596827893,1859024,3431988.53821057,925060,335856,1218978,48.9529839220004,1203087,2490099.48390943,762136,61.7723378347266,655937,1233782.02398477,"Agriculture, forestry and fishing",121975.07,118.28905,31.328465,68.173882,74.01413,108.42667,108.60564,108.29729,645756.63,103.995414733887,0.0045001251,0.0073993504,0.013787569,0.0057795658,0.0079826498,,,,0.58058453,0.0018834338,,-13.752047,0.0047066361,0.014354536,0.0059267944,0.0084023904,,,,0.67438233,0.001929797,,-13.266129,0.0033101325,-2.2562652,0.0055894232,0.010520486,0.0049311807,0.0055639534,,,,0.040086553,0.0016162725,,-16.552076
A,2003,"Agriculture, forestry and fishing",,52078,248470,,62493,0,93377,803,0,699,38721,,47.933441801419,55.9017032002981,,45.5868621523784,0,,42.6693136324535,0,73.959169098444,61.6831471959185,,53083,243287,,58525,0,92160,723,0,784,37677,,108646.485716071,444476.6183773,,137085.548444004,0,,1881.91449929781,0,945.116080292344,62774.0343355277,,248000,4705000,,3321000,0,,5000,0,1000,273000,,248000,4496000,,3135000,0,,4000,0,1000,268000,,444002.833419321,9688410.16339011,,7384382.46682506,0,,12195.0486641845,0,2250,452261.936996284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",229311,235.11,161.21,1914649,58.925914551077,1875627,3249247.83024009,784806,314868,1168207,51.3391271731479,1113911,2275471.09646035,746442,60.5336731774428,761716,1233102.10799855,"Agriculture, forestry and fishing",180655.11,122.67793,33.726654,69.140167,76.035713,108.30587,108.48309,108.19461,571555.88,97.960823059082,0.0091993902,0.012949556,0.024667259,0.0068830173,0.017784091,,,,3.2369971,0.0025126706,,16.357813,0.0069820089,0.018426906,0.0051615541,0.013265198,,,,2.2772987,0.0020019489,,11.516533,0.0016686089,-13.161635,0.0010210637,0.003473449,0.0010364969,0.0024367988,,,,-0.022379898,0.00077813148,,-0.08439105
A,2004,"Agriculture, forestry and fishing",,38409,179108,,59328,0,56103,773,0,716,23787,,48.9023471671989,57.8907816922361,,48.2185301796453,0,,44.2729925340759,0,68.5055175607838,63.034627415445,,37648,172954,,56090,0,54430,745,0,773,23277,,78542.242294993,309389.499959059,,123039.835057113,0,,1745.98543210071,0,1045.17128764804,37736.4013643263,,269000,4849000,,3432000,0,,5000,0,1000,291000,,252000,4651000,,3282000,0,,5000,0,1000,282000,,451164.169442213,9577214.80763601,,7297664.334875,0,,12195.0486641845,0,2250,467171.671182975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",244472,218.76,143.38,2118120,56.4125553297337,2212489,3754696.07363024,723178,280223,1199321,56.3836165608783,1092021,2127073.55993221,918799,49.6384353518006,1120468,1850983.00034687,"Agriculture, forestry and fishing",293526.75,121.82732,36.108799,68.627777,75.938469,107.81618,107.99249,107.70762,630914.56,105.379364013672,0.004766108,0.0078490106,0.014796199,0.0049439445,0.0098503307,,,,2.1398115,0.0021789437,,48.502804,0.0041480502,0.013012801,0.0044596572,0.0085512185,,,,1.8710371,0.0020380237,,47.532509,-0.00044320023,-5.897716,-0.00078534824,-0.00023521355,0.00086212478,-0.0010992618,,,,-0.12555711,0.00099119847,,40.324684
